"Arrival_Time","Airline_Code","Airline","Origin_Airport","Origin_Code","Origin_City","Flight_Code","Duration"
"18:10","6E","IndiGo","Tiruchirappalli","TRZ","Tiruchirappalli","6E2017","1h 50m"
"18:15","AI","Air India","Udaipur","UDR","Udaipur","AI2596","1h 40m"
"18:20","QP","Akasa Air","Indira Gandhi International Airport","DEL","Delhi","QP1128","2h 20m"
"18:20","QP","Akasa Air","Allahabad","IXD","Allahabad","QP1124","2h 20m"
"18:25","6E","IndiGo","Ahmedabad Airport","AMD","Ahmedabad","6E5139","1h 20m"
"18:25","AI","Air India","Indira Gandhi International Airport","DEL","Delhi","AI1777","2h 25m"
"18:25","AI","Air India","Chennai International","MAA","Chennai","AI2740","2h 25m"
"18:30","6E","IndiGo","Lucknow","LKO","Lucknow","6E708","2h 20m"
"18:35","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E327","2h 20m"
"18:35","IX","Air India Express","Varanasi","VNS","Varanasi","IX2547","2h 20m"
"18:40","6E","IndiGo","Chennai International","MAA","Chennai","6E5104","2h 0m"
"18:40","QP","Akasa Air","Varanasi","VNS","Varanasi","QP1428","2h 15m"
"18:50","6E","IndiGo","Rajiv Gandhi International Airport","HYD","Hyderabad","6E5259","1h 30m"
"18:55","6E","IndiGo","Rajahmundry","RJA","Rajahmundry","6E5124","1h 50m"
"18:55","6E","IndiGo","Srinagar","SXR","Srinagar","6E215","2h 50m"
"18:55","AI","Air India","Goa","GOI","Goa","AI2746","1h 25m"
"19:00","EY","Etihad","Zayed International Airport","AUH","Abu Dhabi","EY204","3h 15m"
"19:05","6E","IndiGo","Kempegowda International Airport","BLR","Bengaluru","6E5255","1h 45m"
"19:05","6E","IndiGo","Kolkata Netaji Subhas Chandra Bose Intl Airport","CCU","Kolkata","6E6206","2h 50m"
"19:15","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E6706","2h 15m"
"19:15","6E","IndiGo","Udaipur","UDR","Udaipur","6E5163","1h 30m"
"19:25","AI","Air India","Indira Gandhi International Airport","DEL","Delhi","AI441","2h 25m"
"19:25","AI","Air India","Rajiv Gandhi International Airport","HYD","Hyderabad","AI2447","2h 0m"
"19:30","IX","Air India Express","Jaipur","JAI","Jaipur","IX1218","1h 55m"
"19:35","6E","IndiGo","Bhopal","BHO","Bhopal","6E5132","1h 35m"
"19:35","6E","IndiGo","Gorakhpur Airport","GOP","Gorakhpur","6E6951","2h 25m"
"19:35","6E","IndiGo","Chandigarh","IXC","Chandigarh","6E5234","2h 25m"
"19:50","IX","Air India Express","Goa","GOI","Goa","IX1241","1h 30m"
"19:50","QP","Akasa Air","Indira Gandhi International Airport","DEL","Delhi","QP1820","2h 20m"
"19:55","6E","IndiGo","Goa","GOI","Goa","6E5242","1h 15m"
"19:55","QP","Akasa Air","Zayed International Airport","AUH","Abu Dhabi","QP585","3h 45m"
"20:05","AI","Air India","Kempegowda International Airport","BLR","Bengaluru","AI2854","2h 0m"
"20:10","AI","Air India","Vijayawada","VGA","Vijayawada","AI599","2h 0m"
"20:10","S5","Star Air","Kolhapur","KLH","Kolhapur","S5162","1h 5m"
"20:15","6E","IndiGo","Coimbatore","CJB","Coimbatore","6E697","2h 5m"
"20:15","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E329","2h 15m"
"20:15","6E","IndiGo","Chennai International","MAA","Chennai","6E5367","2h 0m"
"20:20","AI","Air India","Chennai International","MAA","Chennai","AI640","2h 20m"
"20:25","6E","IndiGo","Calicut","CCJ","Kozhikode","6E6932","1h 50m"
"20:25","AI","Air India","Indira Gandhi International Airport","DEL","Delhi","AI2955","2h 25m"
"20:25","SG","SpiceJet","Varanasi","VNS","Varanasi","SG506","2h 10m"
"20:30","6E","IndiGo","Rajiv Gandhi International Airport","HYD","Hyderabad","6E5039","1h 30m"
"20:30","6E","IndiGo","Nagpur","NAG","Nagpur","6E5175","1h 30m"
"20:30","AI","Air India","Chandigarh","IXC","Chandigarh","AI2660","2h 40m"
"20:40","6E","IndiGo","Kempegowda International Airport","BLR","Bengaluru","6E6283","1h 35m"
"20:45","AI","Air India","Kolkata Netaji Subhas Chandra Bose Intl Airport","CCU","Kolkata","AI2774","3h 5m"
"20:45","EK","Emirates","Dubai International Airport","DXB","Dubai","EK508","3h 15m"
"20:50","6E","IndiGo","Hirasar Airport","HSR","Hirasar","6E2104","1h 15m"
"20:55","6E","IndiGo","Soekarno Hatta International","CGK","Jakarta","6E1602","6h 35m"
"20:55","GF","Gulf Air","Bahrain International Airport","BAH","Bahrain","GF64","3h 55m"
"21:00","QP","Akasa Air","Lokpriya Gopinath Bordoloi International Airport","GAU","Guwahati","QP1142","3h 35m"
"21:05","6E","IndiGo","Ahmedabad Airport","AMD","Ahmedabad","6E5160","1h 30m"
"21:05","AI","Air India","Kempegowda International Airport","BLR","Bengaluru","AI2610","2h 5m"
"21:05","CX","Cathay Pacific","Hong Kong International Airport","HKG","Hong Kong","CX683","6h 15m"
"21:05","IX","Air India Express","Bhubaneshwar","BBI","Bhubaneswar","IX1025","2h 35m"
"21:15","G9","Air Arabia","Sharjah International","SHJ","Sharjah","G9401","3h 10m"
"21:15","IX","Air India Express","Goa","GOI","Goa","IX2390","1h 20m"
"21:20","6E","IndiGo","Udaipur","UDR","Udaipur","6E5327","1h 40m"
"21:20","9I","Alliance Air","Jalgaon Airport","JLG","Jalgaon","9I602","1h 50m"
"21:20","QP","Akasa Air","Mopa Airport","GOX","Goa","QP1108","1h 30m"
"21:25","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E354","2h 25m"
"21:25","AI","Air India","Indira Gandhi International Airport","DEL","Delhi","AI2977","2h 25m"
"21:25","AI","Air India","Devi Ahilyabai Holkar","IDR","Indore","AI2750","1h 35m"
"21:30","6E","IndiGo","Kolkata Netaji Subhas Chandra Bose Intl Airport","CCU","Kolkata","6E5128","2h 45m"
"21:35","VN","Vietnam Airlines","Noibai International","HAN","Hanoi","VN973","4h 50m"
"21:45","IX","Air India Express","Chandigarh","IXC","Chandigarh","IX2397","2h 20m"
"21:50","LX","SWISS","Zurich Airport","ZRH","Zurich","LX154","8h 30m"
"21:55","IX","Air India Express","Bagdogra","IXB","Bagdogra","IX1547","3h 0m"
"21:55","TG","Thai Airways","Suvarnabhumi Airport","BKK","Bangkok","TG317","4h 30m"
"22:00","6E","IndiGo","Kempegowda International Airport","BLR","Bengaluru","6E5376","1h 45m"
"22:00","6E","IndiGo","Cochin","COK","Kochi","6E2094","2h 5m"
"22:05","6E","IndiGo","Devi Ahilyabai Holkar","IDR","Indore","6E552","1h 25m"
"22:10","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E303","2h 10m"
"22:10","SQ","Singapore Airlines","Singapore Changi Airport","SIN","Singapore","SQ424","5h 50m"
"22:15","6E","IndiGo","Mopa Airport","GOX","Goa","6E5176","1h 20m"
"22:15","6E","IndiGo","Chennai International","MAA","Chennai","6E5149","2h 0m"
"22:15","MH","Malaysia Airlines","Kuala Lumpur International Airport","KUL","Kuala Lumpur","MH194","5h 10m"
"22:20","6E","IndiGo","Bhubaneshwar","BBI","Bhubaneswar","6E459","2h 25m"
"22:20","6E","IndiGo","Nagpur","NAG","Nagpur","6E5133","1h 35m"
"22:20","QP","Akasa Air","Indira Gandhi International Airport","DEL","Delhi","QP1826","2h 25m"
"22:25","6E","IndiGo","Vadodara","BDQ","Vadodara","6E679","1h 25m"
"22:25","AI","Air India","Cochin","COK","Kochi","AI699","2h 25m"
"22:25","OD","Batik Air","Kuala Lumpur International Airport","KUL","Kuala Lumpur","OD215","5h 0m"
"22:25","SG","SpiceJet","Patna","PAT","Patna","SG682","2h 45m"
"22:35","6E","IndiGo","Dubai International Airport","DXB","Dubai","6E1454","3h 25m"
"22:35","SG","SpiceJet","Indira Gandhi International Airport","DEL","Delhi","SG162","2h 25m"
"22:40","6E","IndiGo","Jaipur","JAI","Jaipur","6E5226","1h 55m"
"22:40","AI","Air India","Ahmedabad Airport","AMD","Ahmedabad","AI2494","1h 40m"
"22:45","6E","IndiGo","Singapore Changi Airport","SIN","Singapore","6E1164","5h 30m"
"22:50","6E","IndiGo","Mangalore","IXE","Mangalore","6E5310","1h 55m"
"23:00","6E","IndiGo","Ahmedabad Airport","AMD","Ahmedabad","6E868","1h 35m"
"23:00","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E853","2h 15m"
"23:00","AI","Air India","Indira Gandhi International Airport","DEL","Delhi","AI2957","2h 30m"
"23:05","6E","IndiGo","Madurai","IXM","Madurai","6E6186","2h 10m"
"23:05","6E","IndiGo","Varanasi","VNS","Varanasi","6E5029","2h 30m"
"23:20","AF","Air France","Charles De Gaulle","CDG","Paris","AF218","9h 0m"
"23:20","AI","Air India","Indira Gandhi International Airport","DEL","Delhi","AI2981","2h 20m"
"23:30","6E","IndiGo","Rajiv Gandhi International Airport","HYD","Hyderabad","6E5203","1h 25m"
"23:30","AI","Air India","Chennai International","MAA","Chennai","AI436","2h 25m"
"23:35","AI","Air India","Kempegowda International Airport","BLR","Bengaluru","AI2642","2h 5m"
"23:35","IX","Air India Express","Lucknow","LKO","Lucknow","IX2403","2h 30m"
"23:40","BA","British Airways","Heathrow","LHR","London","BA139","9h 30m"
"23:40","VJ","VietJet","Tansonnhat International","SGN","Ho Chi Minh City","VJ883","5h 5m"
"23:45","6E","IndiGo","Devi Ahilyabai Holkar","IDR","Indore","6E6598","1h 25m"
"23:50","LH","Lufthansa","Munich Airport","MUC","Munich","LH766","8h 0m"
"23:55","AI","Air India","Indira Gandhi International Airport","DEL","Delhi","AI2433","2h 25m"
"23:55","AI","Air India","Dubai International Airport","DXB","Dubai","AI4218","3h 30m"
