"Departure_Time","Airline_Code","Airline","Destination_Airport","Destination_Code","Destination_City","Flight_Code","Duration"
"18:55","IX","Air India Express","Kolkata Netaji Subhas Chandra Bose Intl Airport","CCU","Kolkata","IX1871","2h 35m"
"19:00","6E","IndiGo","Vishakhapatnam","VTZ","Vishakhapatnam","6E969","1h 30m"
"19:00","AI","Air India","Chhatrapati Shivaji Maharaj International Airport","BOM","Mumbai","AI2610","2h 5m"
"19:05","6E","IndiGo","Chhatrapati Shivaji Maharaj International Airport","BOM","Mumbai","6E6283","1h 35m"
"19:10","6E","IndiGo","Lucknow","LKO","Lucknow","6E903","2h 35m"
"19:15","6E","IndiGo","Calicut","CCJ","Kozhikode","6E152","0h 50m"
"19:15","6E","IndiGo","Goa","GOI","Goa","6E6554","1h 10m"
"19:20","6E","IndiGo","Cochin","COK","Kochi","6E435","1h 5m"
"19:20","6E","IndiGo","Vijayawada","VGA","Vijayawada","6E7134","1h 30m"
"19:25","6E","IndiGo","Tiruchirappalli","TRZ","Tiruchirappalli","6E7165","1h 15m"
"19:30","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E870","2h 45m"
"19:30","6E","IndiGo","Chennai International","MAA","Chennai","6E6012","1h 5m"
"19:40","6E","IndiGo","Madurai","IXM","Madurai","6E7586","1h 20m"
"19:40","IX","Air India Express","Rajiv Gandhi International Airport","HYD","Hyderabad","IX1250","1h 20m"
"19:40","IX","Air India Express","Chennai International","MAA","Chennai","IX1168","1h 10m"
"19:40","IX","Air India Express","Thiruvananthapuram International","TRV","Thiruvananthapuram","IX1367","1h 15m"
"19:45","6E","IndiGo","Rajiv Gandhi International Airport","HYD","Hyderabad","6E855","1h 15m"
"19:50","IX","Air India Express","Indira Gandhi International Airport","DEL","Delhi","IX1040","2h 50m"
"19:50","IX","Air India Express","Mangalore","IXE","Mangalore","IX2924","1h 10m"
"19:55","6E","IndiGo","Coimbatore","CJB","Coimbatore","6E6875","1h 0m"
"19:55","IX","Air India Express","Dubai International Airport","DXB","Dubai","IX921","4h 0m"
"20:00","6E","IndiGo","Ahmedabad Airport","AMD","Ahmedabad","6E6423","2h 10m"
"20:00","AI","Air India","Indira Gandhi International Airport","DEL","Delhi","AI2818","2h 45m"
"20:00","IX","Air India Express","Cochin","COK","Kochi","IX2116","1h 5m"
"20:00","IX","Air India Express","King Abdulaziz International Airport","JED","Jeddah","IX941","6h 0m"
"20:00","QP","Akasa Air","Pune","PNQ","Pune","QP1317","1h 35m"
"20:10","6E","IndiGo","Navi Mumbai International Airport","NMI","Mumbai","6E163","1h 35m"
"20:10","QP","Akasa Air","Calicut","CCJ","Kozhikode","QP1743","1h 5m"
"20:15","6E","IndiGo","Chhatrapati Shivaji Maharaj International Airport","BOM","Mumbai","6E5376","1h 45m"
"20:15","IX","Air India Express","Nagpur","NAG","Nagpur","IX2301","1h 50m"
"20:20","6E","IndiGo","Kolkata Netaji Subhas Chandra Bose Intl Airport","CCU","Kolkata","6E975","2h 40m"
"20:20","6E","IndiGo","Chennai International","MAA","Chennai","6E6077","1h 5m"
"20:25","IX","Air India Express","Navi Mumbai International Airport","NMI","Mumbai","IX2932","1h 45m"
"20:30","6E","IndiGo","Chandigarh","IXC","Chandigarh","6E6385","3h 10m"
"20:35","IX","Air India Express","Ahmedabad Airport","AMD","Ahmedabad","IX2015","2h 10m"
"20:40","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E817","2h 50m"
"20:40","6E","IndiGo","Pune","PNQ","Pune","6E441","1h 25m"
"20:50","6E","IndiGo","Devi Ahilyabai Holkar","IDR","Indore","6E6743","1h 55m"
"20:50","9I","Alliance Air","Goa","GOI","Goa","9I547","1h 35m"
"21:00","EK","Emirates","Dubai International Airport","DXB","Dubai","EK567","3h 50m"
